Date,Open,High,Low,Close,Adj Close,Volume
"Jul 1, 1997",245.25,292.64,245.25,292.64,292.63,-
"Jun 1, 1997",243.56,252.01,232.19,245.95,245.94,-
"May 1, 1997",224.69,249.52,224.69,241.78,241.77,-
"Apr 1, 1997",199.67,223.05,196.25,223.05,223.04,-
"Mar 1, 1997",211.84,216.05,198.91,200.57,200.56,-
"Feb 1, 1997",224.28,224.28,209.22,209.61,209.6,-
"Jan 1, 1997",197.39,225.41,197.39,225.41,225.4,-
"Dec 1, 1996",207.44,209.06,195.58,198.81,198.8,-
"Nov 1, 1996",175.53,204.27,175.53,204.27,204.26,-
"Oct 1, 1996",173.27,184.02,171.81,176.55,176.54,-
"Sep 1, 1996",158.95,178.54,155.57,174.65,174.64,-
"Aug 1, 1996",154.33,163.09,154.33,157.39,157.38,-
"Jul 1, 1996",162.8,162.8,139.8,152.03,152.02,-
"Jun 1, 1996",163.86,165.42,155.25,159.84,159.83,-
"May 1, 1996",161.07,166.97,158.96,165.09,165.08,-
"Apr 1, 1996",146.48,162.4,146.08,160.41,160.4,-
"Mar 1, 1996",146.92,155.76,142.88,145.98,145.97,-
"Feb 1, 1996",146.94,161.07,146.94,153.32,153.31,-
"Jan 1, 1996",140.21,144.25,126.09,144.25,144.24,-
"Dec 1, 1995",144.65,149.58,134.87,138.77,138.76,-
"Nov 1, 1995",152.48,157.32,142.11,146.93,146.92,-
"Oct 1, 1995",145.02,154.69,136.48,152.77,152.76,-
"Sep 1, 1995",146.78,155.54,145.66,147.24,147.23,-
"Aug 1, 1995",146.28,156.04,143.31,148.25,148.24,-
"Jul 1, 1995",140.98,157.76,140.98,148.62,148.61,-
"Jun 1, 1995",130.35,142.96,129.39,140.02,140.01,-
"May 1, 1995",122.59,134.52,122.59,128.43,128.42,-
"Apr 1, 1995",112.76,123.73,111.76,123.73,123.72,-
"Mar 1, 1995",106.77,116.1,106.77,111.95,111.94,-
"Feb 1, 1995",101.12,108.37,101.12,106.58,106.57,-
"Jan 1, 1995",99.04,105.97,99.04,99.91,99.91,-
"Dec 1, 1994",96.52,101.11,95.13,100.0,100.0,-
"Nov 1, 1994",100.15,101.37,96.62,98.09,98.09,-
"Oct 1, 1994",91.48,100.36,89.34,100.34,100.34,-
"Sep 1, 1994",92.01,95.6,91.36,92.1,92.1,-
